account_id,customer_id,account_type,account_status,open_date,close_date,current_balance,available_balance,credit_limit,interest_rate,branch_id,officer_id,last_activity_date,first_name,last_name,ssn_hash,date_of_birth,customer_segment,risk_rating,region_code,primary_email,phone_number,acct_age_months,days_inactive,utilization_pct,dormancy_flag,high_balance_flag,snapshot_date,load_timestamp
A00000001,C0000001,CC,A,2011-11-27,,880.19,619.81,1500,0.2009,B015,O0088,2023-11-03,Linda,Lopez,a47401f094a96eef71465948a306129a,1958-08-12,SMB,5,MW,linda.lopez1@example.com,555-943-3892,146,89,58.679333333,N,N,2024-01-31,2026-09-18 19:12:03
A00000002,C0000002,CD,A,2009-08-28,,125956.45,125923.9,0,0.047,B024,O0039,2024-01-27,Thomas,Baker,e8f6ac86478b28d9ff260f354890039e,1999-04-17,PREM,5,NW,thomas.baker2@example.com,555-664-0922,173,4,,N,N,2024-01-31,2026-09-18 19:12:03
A00000003,C0000002,SAV,D,2011-04-16,,715.69,508.06,0,0.0293,B019,O0057,2024-01-29,Thomas,Baker,e8f6ac86478b28d9ff260f354890039e,1999-04-17,PREM,5,NW,thomas.baker2@example.com,555-664-0922,153,2,,N,N,2024-01-31,2026-09-18 19:12:03
A00000004,C0000003,MTG,A,2016-09-08,,360901.23,360731.45,0,0.0625,B032,O0107,2024-01-29,Richard,Carter,94994914e7f58574ead7ccda59c1224c,1974-01-17,RET,5,W,richard.carter3@example.com,555-659-7317,88,2,,N,Y,2024-01-31,2026-09-18 19:12:03
A00000005,C0000003,HELC,A,2011-02-24,,55331.94,194668.06,250000,0.1,B035,O0042,2023-11-18,Richard,Carter,94994914e7f58574ead7ccda59c1224c,1974-01-17,RET,5,W,richard.carter3@example.com,555-659-7317,155,74,22.132776,N,N,2024-01-31,2026-09-18 19:12:03
A00000007,C0000004,CHK,A,2012-12-01,,15972.62,15736.25,0,0.0009,B001,O0019,2023-11-25,Sandra,Baker,da2e6827fd0ce3fb33a70e381ed14a8e,1948-08-21,CORP,5,NW,sandra.baker4@example.com,555-888-7637,133,67,,N,N,2024-01-31,2026-09-18 19:12:03
A00000008,C0000005,CC,A,2011-05-09,,807.31,692.69,1500,0.2481,B033,O0042,2023-06-13,Nancy,Williams,f186d57a02036644811fa843f427edad,1977-04-12,SMB,1,NE,nancy.williams5@example.com,555-641-7536,152,232,53.820666667,N,N,2024-01-31,2026-09-18 19:12:03
A00000009,C0000005,CHK,A,2007-09-21,,12997.97,12938,0,0.0011,B017,O0074,2024-01-18,Nancy,Williams,f186d57a02036644811fa843f427edad,1977-04-12,SMB,1,NE,nancy.williams5@example.com,555-641-7536,196,13,,N,N,2024-01-31,2026-09-18 19:12:03
A00000010,C0000005,MTG,A,2017-06-30,,518416.04,518306.9,0,0.0733,B028,O0081,2023-03-29,Nancy,Williams,f186d57a02036644811fa843f427edad,1977-04-12,SMB,1,NE,nancy.williams5@example.com,555-641-7536,79,308,,N,Y,2024-01-31,2026-09-18 19:12:03
A00000011,C0000006,CC,A,2012-06-17,,2422.58,577.42,3000,0.2329,B046,O0070,2023-05-24,Betty,Roberts,8874781eb973b73895628398d83f2d2d,1960-11-26,PREM,7,NW,betty.roberts6@example.com,555-884-4798,139,252,80.752666667,N,N,2024-01-31,2026-09-18 19:12:03
A00000012,C0000007,AUTO,S,2015-10-14,,7930.09,7842.66,0,0.0791,B015,O0004,2024-01-18,Susan,Robinson,a7b2f2f81f1b3470b5020c1731d0aaa0,1992-01-25,RET,6,SE,susan.robinson7@example.com,555-568-8884,99,13,,N,N,2024-01-31,2026-09-18 19:12:03
A00000013,C0000008,CHK,A,2013-04-28,,3558.15,3479.04,0,0.0011,B048,O0098,2024-01-22,Edward,Scott,f324ba7a1e67e0420f0666ea95ee4cc2,2000-02-06,SMB,4,MW,edward.scott8@example.com,555-603-7214,129,9,,N,N,2024-01-31,2026-09-18 19:12:03
A00000014,C0000009,CC,S,2018-11-24,,1709.08,3290.92,5000,0.2175,B014,O0031,2023-12-02,Daniel,Harris,3e17a6a3bb63589e1a6e7d9e7bc8d361,1989-05-26,PREM,3,MW,daniel.harris9@example.com,555-577-2461,62,60,34.1816,N,N,2024-01-31,2026-09-18 19:12:03
A00000015,C0000010,IRA,A,2022-12-28,,21945.01,21765.25,0,0.0445,B038,O0033,2024-01-20,Margaret,Robinson,ac72b283ffe227251afdae6f507e0846,1991-12-25,SMB,3,SE,margaret.robinson10@example.com,555-444-2603,13,11,,N,N,2024-01-31,2026-09-18 19:12:03
A00000016,C0000011,CD,A,2014-02-25,,15204.96,15110.58,0,0.0469,B032,O0070,2024-01-21,Jessica,Jackson,fb942c61a01179e4e75211dff91684d8,1969-07-15,SMB,2,SW,jessica.jackson11@example.com,555-491-8578,119,10,,N,N,2024-01-31,2026-09-18 19:12:03
A00000017,C0000012,MMA,A,2013-04-26,,31767.72,31613.65,0,0.037,B016,O0102,2024-01-21,Betty,Mitchell,e9845a2b59067aed47b5f58b0a8b0e6c,1948-03-03,RET,1,W,betty.mitchell12@example.com,555-735-9301,129,10,,N,N,2024-01-31,2026-09-18 19:12:03
A00000018,C0000012,CHK,A,2023-04-13,,2366.27,2355.69,0,0.001,B028,O0001,2024-01-18,Betty,Mitchell,e9845a2b59067aed47b5f58b0a8b0e6c,1948-03-03,RET,1,W,betty.mitchell12@example.com,555-735-9301,9,13,,N,N,2024-01-31,2026-09-18 19:12:03
A00000019,C0000012,AUTO,A,2021-01-23,,20812.27,20756.07,0,0.0889,B009,O0059,2023-03-19,Betty,Mitchell,e9845a2b59067aed47b5f58b0a8b0e6c,1948-03-03,RET,1,W,betty.mitchell12@example.com,555-735-9301,36,318,,N,N,2024-01-31,2026-09-18 19:12:03
A00000020,C0000013,SAV,A,2009-02-07,,557.47,460.33,0,0.0359,B039,O0110,2024-01-23,Sandra,Lee,29551d935586cf53113411fa04703c36,1998-06-12,PREM,5,SE,sandra.lee13@example.com,555-551-6070,179,8,,N,N,2024-01-31,2026-09-18 19:12:03
A00000021,C0000013,PERS,A,2015-05-03,,2068.19,1854.76,0,0.1295,B044,O0004,2024-01-25,Sandra,Lee,29551d935586cf53113411fa04703c36,1998-06-12,PREM,5,SE,sandra.lee13@example.com,555-551-6070,104,6,,N,N,2024-01-31,2026-09-18 19:12:03
A00000022,C0000014,CD,A,2017-04-22,,18142.28,18096.04,0,0.0531,B019,O0092,2024-01-23,Kevin,Green,22c3f27432cc23a0b7f4f37b04758273,1969-08-21,CORP,3,NE,kevin.green14@example.com,555-275-0035,81,8,,N,N,2024-01-31,2026-09-18 19:12:03
A00000023,C0000014,MTG,A,2008-10-29,,127409.93,127394.46,0,0.0586,B006,O0120,2024-01-18,Kevin,Green,22c3f27432cc23a0b7f4f37b04758273,1969-08-21,CORP,3,NE,kevin.green14@example.com,555-275-0035,183,13,,N,N,2024-01-31,2026-09-18 19:12:03
A00000024,C0000015,CC,D,2015-11-29,,2651.4,4848.6,7500,0.2409,B024,O0032,2024-01-29,Kenneth,Lopez,2e5a90568650a5e65b5917ae5e65040d,1959-01-07,RET,3,MW,kenneth.lopez15@example.com,555-248-1436,98,2,35.352,N,N,2024-01-31,2026-09-18 19:12:03
A00000025,C0000015,IRA,A,2011-01-10,,11042.98,10936.77,0,0.048,B014,O0056,2023-12-27,Kenneth,Lopez,2e5a90568650a5e65b5917ae5e65040d,1959-01-07,RET,3,MW,kenneth.lopez15@example.com,555-248-1436,156,35,,N,N,2024-01-31,2026-09-18 19:12:03
A00000026,C0000015,MTG,A,2013-07-02,,787669.93,787545.09,0,0.0683,B013,O0020,2024-01-19,Kenneth,Lopez,2e5a90568650a5e65b5917ae5e65040d,1959-01-07,RET,3,MW,kenneth.lopez15@example.com,555-248-1436,126,12,,N,Y,2024-01-31,2026-09-18 19:12:03
A00000027,C0000016,CHK,A,2017-03-20,,511.59,278.94,0,0.0011,B035,O0092,2024-01-23,Lisa,Green,dccc4b704ecbcdf7e69b29a45766cbc2,1951-12-23,RET,2,W,lisa.green16@example.com,555-707-9784,82,8,,N,N,2024-01-31,2026-09-18 19:12:03
A00000028,C0000016,AUTO,A,2020-05-31,,54313.79,54227.72,0,0.0725,B041,O0011,2024-01-27,Lisa,Green,dccc4b704ecbcdf7e69b29a45766cbc2,1951-12-23,RET,2,W,lisa.green16@example.com,555-707-9784,44,4,,N,N,2024-01-31,2026-09-18 19:12:03
